Numero de documentos (noticias) del corpus: 5914
Numero de palabras del corpus: 665492
Palabra: <EMPTY> Frec: 21 LogProb: -10.36
Palabra: <NON-ASCII> Frec: 731 LogProb: -6.81
Palabra: <UNK> Frec: 22280 LogProb: -3.40
Palabra: aa Frec: 28 LogProb: -10.08
Palabra: aaa Frec: 14 LogProb: -10.77
Palabra: aaai Frec: 1 LogProb: -13.41
Palabra: aaal Frec: 1 LogProb: -13.41
Palabra: aaarghh Frec: 2 LogProb: -12.72
Palabra: aaas Frec: 4 LogProb: -12.02
Palabra: aabb Frec: 1 LogProb: -13.41
Palabra: aabyhoej Frec: 1 LogProb: -13.41
Palabra: aac Frec: 3 LogProb: -12.31
Palabra: aaccess Frec: 2 LogProb: -12.72
Palabra: aace Frec: 1 LogProb: -13.41
Palabra: aachen Frec: 1 LogProb: -13.41
Palabra: aad Frec: 2 LogProb: -12.72
Palabra: aads Frec: 7 LogProb: -11.46
Palabra: aae Frec: 1 LogProb: -13.41
Palabra: aafarli Frec: 1 LogProb: -13.41
Palabra: aafke Frec: 1 LogProb: -13.41
Palabra: aafter Frec: 2 LogProb: -12.72
Palabra: aag Frec: 2 LogProb: -12.72
Palabra: aaghbar Frec: 1 LogProb: -13.41
Palabra: aagrra Frec: 4 LogProb: -12.02
Palabra: aahus Frec: 1 LogProb: -13.41
Palabra: aaj Frec: 1 LogProb: -13.41
Palabra: aak Frec: 1 LogProb: -13.41
Palabra: aal Frec: 4 LogProb: -12.02
Palabra: aala Frec: 1 LogProb: -13.41
Palabra: aalborg Frec: 1 LogProb: -13.41
Palabra: aale Frec: 1 LogProb: -13.41
Palabra: aalib Frec: 1 LogProb: -13.41
Palabra: aallan Frec: 1 LogProb: -13.41
Palabra: aamodt Frec: 1 LogProb: -13.41
Palabra: aamt Frec: 1 LogProb: -13.41
Palabra: aan Frec: 1 LogProb: -13.41
Palabra: aanbevelingen Frec: 1 LogProb: -13.41
Palabra: aanhalingstekens Frec: 1 LogProb: -13.41
Palabra: aantal Frec: 1 LogProb: -13.41
Palabra: aao Frec: 4 LogProb: -12.02
Palabra: aarbakke Frec: 1 LogProb: -13.41
Palabra: aaret Frec: 1 LogProb: -13.41
Palabra: aarhus Frec: 2 LogProb: -12.72
Palabra: aarne Frec: 1 LogProb: -13.41
Palabra: aarno Frec: 1 LogProb: -13.41
Palabra: aaron Frec: 7 LogProb: -11.46
Palabra: aarons Frec: 1 LogProb: -13.41
Palabra: aarp Frec: 1 LogProb: -13.41
Palabra: aarts Frec: 1 LogProb: -13.41
Palabra: aas Frec: 4 LogProb: -12.02
Palabra: aat Frec: 1 LogProb: -13.41
Palabra: aatsp Frec: 1 LogProb: -13.41
Palabra: aau Frec: 1 LogProb: -13.41
Palabra: aave Frec: 1 LogProb: -13.41
Palabra: ab Frec: 22 LogProb: -10.32
Palabra: aba Frec: 6 LogProb: -11.62
