On Thu, 1 ,-556.43,-601.10,S
I have a s,-1324.13,-1322.23,P
position a,-1080.15,-1188.90,S
ë÷îä £ ¨ ±,-8.80,-7.73,P
enron japa,-343.71,-385.60,S
don ' t gi,-352.91,-340.64,P
Good ol do,-292.98,-316.07,S
california,-6715.95,-7095.77,S
this perfo,-795.38,-684.54,P
a visit pr,-1256.65,-1365.26,S
URL: http:,-146.96,-157.24,S
Hello Bill,-2450.35,-2531.81,S
Hi All,I h,-1084.81,-1131.50,S
On Tue, 20,-586.90,-616.49,S
fw : scree,-660.82,-701.70,S
failure no,-1097.88,-970.16,P
all graphi,-999.60,-767.05,P
 fork ,Fro,-3012.71,-2826.95,P
a DOS boot,-597.94,-658.18,S
pure polit,-5543.93,-5784.65,S
[Guido, on,-1157.35,-1204.98,S
tmi95 - ad,-2140.75,-2490.04,S
re : credi,-1820.93,-2067.00,S
reply soon,-3555.96,-3352.93,P
how to soa,-1307.56,-1237.20,P
revised no,-171.90,-208.51,S
At 11:49 A,-2149.50,-2172.09,S
2nd flexib,-6363.86,-6984.44,S
Low-Cost T,-477.60,-419.21,P
you like t,-9075.14,-8540.30,P
looking fo,-239.04,-192.79,P
????? R ==,-532.45,-551.12,S
japan upda,-283.46,-306.54,S
The demogr,-5559.41,-5623.08,S
office xp ,-677.31,-657.75,P
empty ,-9.26,-8.70,P
the cheapp,-544.15,-506.41,P
wecol ' 98,-612.46,-667.88,S
syllabus f,-237.19,-262.53,S
URL: http:,-115.82,-118.13,S
empty ,-9.26,-8.70,P
charm conf,-577.86,-644.90,S
hpl nom fo,-81.76,-110.35,S
add sennse,-403.63,-360.69,P
Marc Perke,-736.15,-770.79,S
URL: http:,-235.21,-232.80,P
re : lng  ,-681.02,-931.18,S
About apt.,-247.95,-262.07,S
job : slav,-671.27,-770.91,S
realize th,-595.23,-528.00,P
especially,-220.84,-199.02,P
URL: http:,-59.42,-67.29,S
review of ,-9445.81,-10518.50,S
sap - time,-266.85,-282.98,S
your email,-2049.53,-1897.05,P
localized ,-570.64,-485.99,P
new book :,-1725.68,-1964.50,S
new offrr ,-392.50,-348.86,P
re : 6 . 1,-483.65,-487.12,S
site licen,-1702.36,-2090.32,S
secure are,-121.10,-124.56,S
speaking o,-820.27,-872.55,S
quick , ea,-174.03,-145.46,P
On Wed, 11,-513.86,-526.34,S
URL: http:,-986.44,-991.55,S
est-ce que,-11895.36,-12357.47,S
cfp : lite,-1038.74,-1209.54,S
Attention ,-8.80,-7.73,P
looking fo,-443.12,-438.07,P
confidence,-621.87,-573.06,P
? ?-- be c,-281.66,-281.31,P
e l e c t ,-2428.80,-2399.80,P
call : csd,-3017.91,-3572.97,S
cl school ,-4126.21,-4579.22,S
fw : liqui,-219.51,-241.20,S
we have $ ,-338.01,-309.35,P
I didn't s,-1422.96,-1521.19,S
Once upon ,-703.58,-746.48,S
? ? ? ? ? ,-8.80,-7.73,P
very impor,-2231.50,-2115.28,P
aiml ' 98 ,-2623.07,-2920.67,S
On Fri, Ju,-232.70,-255.66,S
multimedia,-5772.87,-6340.53,S
competitiv,-1381.19,-1427.29,S
Just to pu,-234.89,-242.25,S
I seem to ,-1695.90,-1791.04,S
webmining ,-91.13,-89.46,P
On Tue, 24,-339.04,-345.15,S
re : summa,-912.72,-1093.86,S
    Date: ,-693.16,-703.32,S
fyi . mess,-1318.69,-1442.47,S
humberto@h,-285.26,-300.53,S
new books ,-714.81,-812.60,S
CAN-2002-0,-292.24,-301.79,S
URL: http:,-8.80,-7.73,P
[ adv ] me,-3070.10,-2960.06,P
only 5 day,-398.48,-373.33,P
fw : heavy,-655.49,-716.78,S
bulk maili,-379.08,-352.56,P
empty ,-9.26,-8.70,P
would you ,-122.46,-117.67,P
power and ,-511.35,-548.51,S
safety bul,-2618.46,-2643.53,S
make $ 314,-528.56,-499.10,P
discount r,-1087.81,-1156.79,S
legal advi,-1741.50,-1672.30,P
january no,-1110.67,-1263.85,S
schedule c,-1040.64,-1258.37,S
Creamfield,-8.80,-7.73,P
antipassiv,-3002.17,-3235.91,S
are you re,-323.38,-265.73,P
Tremendous,-8.80,-7.73,P
? Ultimate,-513.59,-507.89,P
top qualit,-394.73,-338.97,P
Thanks for,-1456.54,-1547.13,S
Every once,-796.66,-821.49,S
save 70 pe,-1773.49,-1500.42,P
On Sun, 21,-4129.44,-4227.09,S
fw : donni,-588.21,-606.47,S
re : bilia,-1246.69,-1385.04,S
office xp ,-271.14,-262.23,P
On Mon, Au,-480.13,-502.46,S
start date,-209.62,-265.32,S
viicodin o,-205.04,-174.13,P
welcome to,-1721.04,-1656.04,P
cuba in no,-1678.84,-1794.96,S
mail deliv,-1358.17,-1210.16,P
tenaska iv,-126.28,-138.37,S
half pr ! ,-715.06,-636.21,P
enron / hp,-80.11,-123.65,S
greatly im,-778.15,-735.04,P
equity adj,-133.66,-153.58,S
easy shopp,-52.70,-47.15,P
moving fro,-333.35,-310.55,P
Well, I tr,-8.80,-7.73,P
enron / hp,-75.56,-115.83,S
if (window,-1185.94,-1140.20,P
re : speak,-1302.38,-1598.58,S
a smart mo,-543.59,-504.03,P
home deliv,-331.04,-282.00,P
There is a,-410.00,-390.77,P
$ 250 toys,-67.81,-60.81,P
Today's He,-2159.32,-2153.26,P
    DanQ? ,-939.00,-951.98,S
Wind up yo,-53.65,-49.22,P
somebody. ,-1906.34,-2008.66,S
FROM: DR. ,-8.80,-7.73,P
new book :,-2267.50,-2484.82,S
fw : calif,-799.17,-948.30,S
on becomin,-819.52,-907.13,S
-----BEGIN,-720.71,-731.45,S
pro opticu,-679.68,-838.80,S
texmex obl,-266.77,-293.93,S
Digital Di,-8.80,-7.73,P
CNET Shopp,-8.80,-7.73,P
reply soon,-2607.31,-2427.52,P
topbody{sc,-8.80,-7.73,P
human sens,-535.78,-572.67,S
beat the m,-8066.94,-7212.76,P
latest mar,-933.27,-978.30,S
? the numb,-321.04,-318.42,P
your accou,-482.46,-458.57,P
ravi thura,-241.13,-252.18,S
Lucas Gonz,-504.42,-499.03,P
etc - even,-73.02,-74.89,S
re : eim r,-1700.53,-1927.04,S
market to ,-1177.08,-1081.65,P
On Thu, 1 ,-8.80,-7.73,P
electric m,-568.08,-533.29,P
i think yo,-194.69,-182.33,P
we ' ve cr,-220.22,-207.95,P
buy regali,-556.30,-474.85,P
fw : amend,-1434.57,-1719.81,S
start date,-209.62,-265.32,S
regarding ,-2986.97,-2800.46,P
As seen on,-700.26,-609.10,P
open enrol,-1868.46,-1868.51,S
re : opm h,-3418.90,-4476.59,S
 Ã¿FFFFA9C,-8.80,-7.73,P
Sorry, gan,-264.27,-267.80,S
new love t,-394.52,-328.05,P
empty ,-9.26,-8.70,P
fw : [ 6 ],-400.84,-393.03,P
from : cal,-1545.89,-1457.10,P
vitro bria,-306.40,-320.65,S
conf : alt,-6694.93,-7486.84,S
syntax mar,-1725.44,-1992.51,S
conformati,-390.81,-367.63,P
lbally do ,-217.74,-195.98,P
save money,-172.82,-165.44,P
Forwarded-,-8.80,-7.73,P
re : marke,-334.33,-305.51,P
eskimo sno,-965.07,-1067.96,S
--- Martin,-8.80,-7.73,P
urgent ass,-1918.91,-1797.25,P
i await yo,-2593.10,-2422.91,P
re : a / a,-2166.61,-2617.31,S
help wante,-581.95,-524.27,P
you have r,-717.40,-687.52,P
learn tech,-307.60,-322.16,S
re : phili,-1040.99,-1193.13,S
o . rde _ ,-455.49,-368.34,P
URL: http:,-22.35,-26.14,S
confidenti,-1287.15,-1340.19,S
Depends on,-887.19,-915.99,S
fw : weste,-8736.57,-9322.10,S
cilco path,-662.75,-736.68,S
re : follo,-1066.29,-1216.70,S
re : chapt,-623.62,-681.94,S
featured s,-3948.65,-3564.18,P
transcript,-3731.64,-4275.81,S
empty ,-9.26,-8.70,P
extra holi,-10522.54,-9755.62,P
re : indus,-1371.13,-1720.81,S
Adam L. Be,-8.80,-7.73,P
( nasdaq ),-494.13,-442.61,P
canadian g,-1555.73,-1394.37,P
if we meet,-601.87,-556.33,P
Doctors On,-807.22,-695.66,P
woww . . 8,-240.82,-208.47,P
----- Orig,-143.13,-153.51,S
ppi index ,-884.21,-1065.32,S
http://www,-28.69,-29.28,S
cimca ' 99,-4829.74,-5415.13,S
foreign la,-1665.75,-1759.19,S
hey ! v am,-8.80,-7.73,P
re : barne,-6110.79,-5783.05,P
january 25,-113.44,-131.57,S
Hiya, I ju,-330.95,-347.93,S
fwd : cali,-2300.54,-2522.71,S
convergenc,-2504.26,-2814.91,S
localized ,-570.65,-484.87,P
On Tue, 13,-340.79,-369.55,S
clear bene,-1116.13,-987.18,P
rea could ,-408.96,-430.67,S
books on s,-2017.45,-2265.85,S
perfect lo,-558.48,-454.72,P
As seen on,-700.26,-609.10,P
god has do,-1739.94,-1596.81,P
update on ,-4702.15,-4797.39,S
Fortunes a,-8.80,-7.73,P
