Numero de documentos (noticias) del corpus: 3954
Numero de palabras del corpus: 442744
Palabra: <EMPTY> Frec: 16 LogProb: -10.23
Palabra: <NON-ASCII> Frec: 491 LogProb: -6.80
Palabra: <UNK> Frec: 20002 LogProb: -3.10
Palabra: aa Frec: 16 LogProb: -10.23
Palabra: aaa Frec: 11 LogProb: -10.60
Palabra: aaai Frec: 1 LogProb: -13.00
Palabra: aaal Frec: 1 LogProb: -13.00
Palabra: aaas Frec: 2 LogProb: -12.31
Palabra: aace Frec: 1 LogProb: -13.00
Palabra: aachen Frec: 1 LogProb: -13.00
Palabra: aads Frec: 7 LogProb: -11.05
Palabra: aafke Frec: 1 LogProb: -13.00
Palabra: aaghbar Frec: 1 LogProb: -13.00
Palabra: aagrra Frec: 3 LogProb: -11.90
Palabra: aal Frec: 3 LogProb: -11.90
Palabra: aalborg Frec: 1 LogProb: -13.00
Palabra: aao Frec: 4 LogProb: -11.61
Palabra: aarhus Frec: 1 LogProb: -13.00
Palabra: aarne Frec: 1 LogProb: -13.00
Palabra: aaron Frec: 5 LogProb: -11.39
Palabra: aarts Frec: 1 LogProb: -13.00
Palabra: aas Frec: 3 LogProb: -11.90
Palabra: aau Frec: 1 LogProb: -13.00
Palabra: ab Frec: 13 LogProb: -10.44
Palabra: aba Frec: 2 LogProb: -12.31
Palabra: ababa Frec: 2 LogProb: -12.31
Palabra: abacha Frec: 19 LogProb: -10.06
Palabra: abachas Frec: 5 LogProb: -11.39
Palabra: abacus Frec: 4 LogProb: -11.61
Palabra: abacustech Frec: 1 LogProb: -13.00
Palabra: abad Frec: 1 LogProb: -13.00
Palabra: abajo Frec: 3 LogProb: -11.90
Palabra: abalone Frec: 5 LogProb: -11.39
Palabra: abandon Frec: 5 LogProb: -11.39
Palabra: abandoned Frec: 13 LogProb: -10.44
Palabra: abandoning Frec: 1 LogProb: -13.00
Palabra: abandonment Frec: 1 LogProb: -13.00
Palabra: abandonned Frec: 1 LogProb: -13.00
Palabra: abandons Frec: 1 LogProb: -13.00
Palabra: abase Frec: 2 LogProb: -12.31
Palabra: abate Frec: 3 LogProb: -11.90
Palabra: abatement Frec: 3 LogProb: -11.90
Palabra: abazis Frec: 3 LogProb: -11.90
Palabra: abb Frec: 2 LogProb: -12.31
Palabra: abbe Frec: 3 LogProb: -11.90
Palabra: abbey Frec: 4 LogProb: -11.61
Palabra: abbonati Frec: 4 LogProb: -11.61
Palabra: abboni Frec: 3 LogProb: -11.90
Palabra: abbott Frec: 4 LogProb: -11.61
Palabra: abbreviated Frec: 1 LogProb: -13.00
Palabra: abbreviation Frec: 2 LogProb: -12.31
Palabra: abbreviations Frec: 1 LogProb: -13.00
Palabra: abbs Frec: 1 LogProb: -13.00
Palabra: abby Frec: 2 LogProb: -12.31
Palabra: abc Frec: 12 LogProb: -10.52
Palabra: abcdef Frec: 3 LogProb: -11.90
Palabra: abd Frec: 1 LogProb: -13.00
Palabra: abdallat Frec: 6 LogProb: -11.21
Palabra: abdel Frec: 2 LogProb: -12.31
Palabra: abdelkader Frec: 1 LogProb: -13.00
Palabra: abdellah Frec: 1 LogProb: -13.00
Palabra: abdelmajid Frec: 1 LogProb: -13.00
Palabra: abdomen Frec: 4 LogProb: -11.61
Palabra: abdominal Frec: 10 LogProb: -10.70
Palabra: abduct Frec: 4 LogProb: -11.61
Palabra: abducted Frec: 1 LogProb: -13.00
Palabra: abductees Frec: 1 LogProb: -13.00
Palabra: abduction Frec: 1 LogProb: -13.00
Palabra: abductive Frec: 1 LogProb: -13.00
Palabra: abdul Frec: 5 LogProb: -11.39
Palabra: abdulla Frec: 10 LogProb: -10.70
Palabra: abdullah Frec: 2 LogProb: -12.31
Palabra: abe Frec: 4 LogProb: -11.61
Palabra: abeille Frec: 1 LogProb: -13.00
Palabra: abeis Frec: 5 LogProb: -11.39
Palabra: abel Frec: 3 LogProb: -11.90
Palabra: abels Frec: 5 LogProb: -11.39
