Numero de documentos (noticias) del corpus: 9086
Numero de palabras del corpus: 2915226
Palabra: <EMPTY> Frec: 2 LogProb: -14.19
Palabra: <NON-ASCII> Frec: 348 LogProb: -9.03
Palabra: <UNK> Frec: 30607 LogProb: -4.56
Palabra: aa Frec: 140 LogProb: -9.94
Palabra: aaa Frec: 60 LogProb: -10.79
Palabra: aaai Frec: 57 LogProb: -10.84
Palabra: aaal Frec: 33 LogProb: -11.39
Palabra: aaarghh Frec: 3 LogProb: -13.79
Palabra: aaas Frec: 82 LogProb: -10.48
Palabra: aabb Frec: 4 LogProb: -13.50
Palabra: aabyhoej Frec: 4 LogProb: -13.50
Palabra: aac Frec: 2 LogProb: -14.19
Palabra: aaccess Frec: 3 LogProb: -13.79
Palabra: aace Frec: 43 LogProb: -11.12
Palabra: aachen Frec: 32 LogProb: -11.42
Palabra: aad Frec: 3 LogProb: -13.79
Palabra: aads Frec: 1 LogProb: -14.89
Palabra: aae Frec: 4 LogProb: -13.50
Palabra: aafarli Frec: 3 LogProb: -13.79
Palabra: aafke Frec: 9 LogProb: -12.69
Palabra: aafter Frec: 3 LogProb: -13.79
Palabra: aag Frec: 3 LogProb: -13.79
Palabra: aaghbar Frec: 10 LogProb: -12.58
Palabra: aagrra Frec: 1 LogProb: -14.89
Palabra: aahus Frec: 4 LogProb: -13.50
Palabra: aaj Frec: 3 LogProb: -13.79
Palabra: aak Frec: 4 LogProb: -13.50
Palabra: aal Frec: 16 LogProb: -12.11
Palabra: aala Frec: 4 LogProb: -13.50
Palabra: aalborg Frec: 22 LogProb: -11.79
Palabra: aale Frec: 4 LogProb: -13.50
Palabra: aalib Frec: 6 LogProb: -13.09
Palabra: aallan Frec: 4 LogProb: -13.50
Palabra: aamodt Frec: 9 LogProb: -12.69
Palabra: aamt Frec: 18 LogProb: -12.00
Palabra: aan Frec: 12 LogProb: -12.40
Palabra: aanbevelingen Frec: 4 LogProb: -13.50
Palabra: aanhalingstekens Frec: 7 LogProb: -12.94
Palabra: aantal Frec: 10 LogProb: -12.58
Palabra: aao Frec: 1 LogProb: -14.89
Palabra: aarbakke Frec: 4 LogProb: -13.50
Palabra: aaret Frec: 4 LogProb: -13.50
Palabra: aarhus Frec: 26 LogProb: -11.63
Palabra: aarne Frec: 7 LogProb: -12.94
Palabra: aarno Frec: 4 LogProb: -13.50
Palabra: aaron Frec: 43 LogProb: -11.12
Palabra: aarons Frec: 4 LogProb: -13.50
Palabra: aarp Frec: 3 LogProb: -13.79
Palabra: aarts Frec: 16 LogProb: -12.11
Palabra: aas Frec: 3 LogProb: -13.79
Palabra: aat Frec: 4 LogProb: -13.50
Palabra: aatsp Frec: 4 LogProb: -13.50
Palabra: aau Frec: 27 LogProb: -11.59
Palabra: aave Frec: 9 LogProb: -12.69
Palabra: ab Frec: 205 LogProb: -9.56
Palabra: aba Frec: 8 LogProb: -12.81
Palabra: ababa Frec: 7 LogProb: -12.94
Palabra: abacha Frec: 1 LogProb: -14.89
Palabra: abachas Frec: 1 LogProb: -14.89
Palabra: aback Frec: 3 LogProb: -13.79
Palabra: abacus Frec: 7 LogProb: -12.94
Palabra: abacustech Frec: 8 LogProb: -12.81
Palabra: abad Frec: 3 LogProb: -13.79
Palabra: abaitua Frec: 4 LogProb: -13.50
Palabra: abajero Frec: 4 LogProb: -13.50
Palabra: abajo Frec: 1 LogProb: -14.89
Palabra: abalone Frec: 1 LogProb: -14.89
Palabra: abancdoned Frec: 4 LogProb: -13.50
Palabra: abandon Frec: 13 LogProb: -12.32
Palabra: abandoned Frec: 39 LogProb: -11.22
Palabra: abandoning Frec: 20 LogProb: -11.89
Palabra: abandonment Frec: 13 LogProb: -12.32
Palabra: abandonned Frec: 3 LogProb: -13.79
Palabra: abandons Frec: 6 LogProb: -13.09
Palabra: abank Frec: 4 LogProb: -13.50
Palabra: abarbanel Frec: 7 LogProb: -12.94
Palabra: abarron Frec: 3 LogProb: -13.79
Palabra: abase Frec: 2 LogProb: -14.19
Palabra: abash Frec: 1 LogProb: -14.89
Palabra: abate Frec: 2 LogProb: -14.19
Palabra: abatement Frec: 1 LogProb: -14.89
Palabra: abaurre Frec: 4 LogProb: -13.50
Palabra: abazis Frec: 1 LogProb: -14.89
Palabra: abb Frec: 16 LogProb: -12.11
Palabra: abbadingo Frec: 5 LogProb: -13.28
Palabra: abbas Frec: 16 LogProb: -12.11
Palabra: abbccc Frec: 3 LogProb: -13.79
Palabra: abbe Frec: 4 LogProb: -13.50
Palabra: abbey Frec: 6 LogProb: -13.09
Palabra: abbi Frec: 7 LogProb: -12.94
Palabra: abbildung Frec: 6 LogProb: -13.09
Palabra: abbonati Frec: 1 LogProb: -14.89
Palabra: abboni Frec: 1 LogProb: -14.89
Palabra: abbott Frec: 23 LogProb: -11.75
Palabra: abbreaviated Frec: 4 LogProb: -13.50
Palabra: abbreviated Frec: 30 LogProb: -11.48
Palabra: abbreviation Frec: 21 LogProb: -11.84
Palabra: abbreviations Frec: 24 LogProb: -11.71
Palabra: abbs Frec: 4 LogProb: -13.50
Palabra: abby Frec: 5 LogProb: -13.28
Palabra: abbyy Frec: 4 LogProb: -13.50
Palabra: abc Frec: 32 LogProb: -11.42
Palabra: abcd Frec: 1 LogProb: -14.89
Palabra: abcdef Frec: 1 LogProb: -14.89
Palabra: abcsearch Frec: 1 LogProb: -14.89
Palabra: abd Frec: 20 LogProb: -11.89
Palabra: abdallat Frec: 1 LogProb: -14.89
Palabra: abdel Frec: 7 LogProb: -12.94
Palabra: abdelaziz Frec: 1 LogProb: -14.89
Palabra: abdelkader Frec: 10 LogProb: -12.58
Palabra: abdellah Frec: 10 LogProb: -12.58
Palabra: abdellatif Frec: 4 LogProb: -13.50
Palabra: abdelmajid Frec: 22 LogProb: -11.79
Palabra: abdelouahab Frec: 4 LogProb: -13.50
Palabra: abderrahim Frec: 3 LogProb: -13.79
Palabra: abdomen Frec: 4 LogProb: -13.50
Palabra: abdominal Frec: 2 LogProb: -14.19
Palabra: abduct Frec: 1 LogProb: -14.89
Palabra: abducted Frec: 4 LogProb: -13.50
Palabra: abductees Frec: 3 LogProb: -13.79
Palabra: abduction Frec: 33 LogProb: -11.39
Palabra: abductive Frec: 10 LogProb: -12.58
Palabra: abdul Frec: 9 LogProb: -12.69
Palabra: abdulaziz Frec: 7 LogProb: -12.94
Palabra: abdulfanova Frec: 4 LogProb: -13.50
Palabra: abdulkarim Frec: 4 LogProb: -13.50
Palabra: abdulla Frec: 4 LogProb: -13.50
Palabra: abdullah Frec: 3 LogProb: -13.79
Palabra: abe Frec: 21 LogProb: -11.84
Palabra: abed Frec: 4 LogProb: -13.50
Palabra: abeer Frec: 4 LogProb: -13.50
Palabra: abegging Frec: 4 LogProb: -13.50
Palabra: abeill Frec: 3 LogProb: -13.79
Palabra: abeille Frec: 43 LogProb: -11.12
Palabra: abeis Frec: 1 LogProb: -14.89
Palabra: abel Frec: 36 LogProb: -11.30
Palabra: abels Frec: 1 LogProb: -14.89
Palabra: abelson Frec: 5 LogProb: -13.28
Palabra: abend Frec: 4 LogProb: -13.50
Palabra: abendessen Frec: 6 LogProb: -13.09
Palabra: aber Frec: 22 LogProb: -11.79
Palabra: abercrombie Frec: 5 LogProb: -13.28
Palabra: aberdeen Frec: 18 LogProb: -12.00
Palabra: abernathy Frec: 1 LogProb: -14.89
Palabra: aberrant Frec: 6 LogProb: -13.09
Palabra: aberrate Frec: 1 LogProb: -14.89
Palabra: aberration Frec: 5 LogProb: -13.28
Palabra: aberrational Frec: 1 LogProb: -14.89
Palabra: aberrations Frec: 4 LogProb: -13.50
Palabra: aberta Frec: 4 LogProb: -13.50
Palabra: aberystwyth Frec: 26 LogProb: -11.63
Palabra: aberyswyth Frec: 4 LogProb: -13.50
Palabra: abet Frec: 1 LogProb: -14.89
Palabra: abetted Frec: 3 LogProb: -13.79
Palabra: abetter Frec: 2 LogProb: -14.19
Palabra: abeyance Frec: 3 LogProb: -13.79
Palabra: abeyant Frec: 1 LogProb: -14.89
Palabra: abeyta Frec: 3 LogProb: -13.79
Palabra: abgabe Frec: 4 LogProb: -13.50
Palabra: abgerufen Frec: 3 LogProb: -13.79
Palabra: abhaengigkeit Frec: 6 LogProb: -13.09
Palabra: abhalten Frec: 4 LogProb: -13.50
Palabra: abhaltungsort Frec: 4 LogProb: -13.50
Palabra: abhay Frec: 7 LogProb: -12.94
Palabra: abhorred Frec: 1 LogProb: -14.89
Palabra: abhorrent Frec: 1 LogProb: -14.89
Palabra: abi Frec: 7 LogProb: -12.94
Palabra: abid Frec: 4 LogProb: -13.50
Palabra: abide Frec: 16 LogProb: -12.11
Palabra: abiding Frec: 9 LogProb: -12.69
Palabra: abidjan Frec: 1 LogProb: -14.89
Palabra: abie Frec: 1 LogProb: -14.89
Palabra: abigail Frec: 10 LogProb: -12.58
Palabra: abigge Frec: 13 LogProb: -12.32
Palabra: abiggyn Frec: 7 LogProb: -12.94
Palabra: abihch Frec: 4 LogProb: -13.50
Palabra: abiic Frec: 4 LogProb: -13.50
Palabra: abiiity Frec: 1 LogProb: -14.89
Palabra: abilities Frec: 90 LogProb: -10.39
Palabra: ability Frec: 588 LogProb: -8.51
Palabra: abillity Frec: 3 LogProb: -13.79
Palabra: abington Frec: 3 LogProb: -13.79
Palabra: abis Frec: 4 LogProb: -13.50
Palabra: abit Frec: 4 LogProb: -13.50
Palabra: abiteboul Frec: 7 LogProb: -12.94
Palabra: abituali Frec: 7 LogProb: -12.94
Palabra: abiword Frec: 5 LogProb: -13.28
Palabra: abiyuh Frec: 4 LogProb: -13.50
Palabra: abject Frec: 7 LogProb: -12.94
Palabra: abkl Frec: 4 LogProb: -13.50
Palabra: abl Frec: 4 LogProb: -13.50
Palabra: ablative Frec: 3 LogProb: -13.79
Palabra: ablauf Frec: 7 LogProb: -12.94
Palabra: ablaut Frec: 16 LogProb: -12.11
Palabra: ablaze Frec: 1 LogProb: -14.89
Palabra: ableads Frec: 3 LogProb: -13.79
Palabra: ableist Frec: 4 LogProb: -13.50
Palabra: abler Frec: 6 LogProb: -13.09
Palabra: ableto Frec: 4 LogProb: -13.50
Palabra: ablex Frec: 16 LogProb: -12.11
Palabra: ablock Frec: 10 LogProb: -12.58
Palabra: ablution Frec: 1 LogProb: -14.89
Palabra: ablx Frec: 4 LogProb: -13.50
Palabra: abmelden Frec: 1 LogProb: -14.89
Palabra: abn Frec: 15 LogProb: -12.18
Palabra: abnegateall Frec: 1 LogProb: -14.89
Palabra: abner Frec: 1 LogProb: -14.89
Palabra: abney Frec: 13 LogProb: -12.32
Palabra: abnormal Frec: 1 LogProb: -14.89
Palabra: abnormally Frec: 3 LogProb: -13.79
Palabra: abo Frec: 1 LogProb: -14.89
Palabra: aboard Frec: 12 LogProb: -12.40
Palabra: abode Frec: 2 LogProb: -14.19
Palabra: abolished Frec: 4 LogProb: -13.50
Palabra: abolition Frec: 8 LogProb: -12.81
Palabra: abominate Frec: 1 LogProb: -14.89
Palabra: abondolo Frec: 9 LogProb: -12.69
Palabra: abook Frec: 3 LogProb: -13.79
Palabra: aboout Frec: 6 LogProb: -13.09
Palabra: aborder Frec: 4 LogProb: -13.50
Palabra: aborigen Frec: 22 LogProb: -11.79
Palabra: aborigenes Frec: 4 LogProb: -13.50
Palabra: aboriginal Frec: 60 LogProb: -10.79
Palabra: aborigine Frec: 4 LogProb: -13.50
Palabra: aborigines Frec: 5 LogProb: -13.28
Palabra: abort Frec: 2 LogProb: -14.19
Palabra: aborted Frec: 6 LogProb: -13.09
Palabra: abortingi Frec: 3 LogProb: -13.79
Palabra: abortive Frec: 1 LogProb: -14.89
Palabra: abot Frec: 3 LogProb: -13.79
Palabra: abou Frec: 6 LogProb: -13.09
Palabra: abound Frec: 10 LogProb: -12.58
Palabra: abounds Frec: 4 LogProb: -13.50
Palabra: aboutall Frec: 3 LogProb: -13.79
Palabra: aboutbecause Frec: 1 LogProb: -14.89
Palabra: aboutbusiness Frec: 1 LogProb: -14.89
Palabra: aboutextorting Frec: 3 LogProb: -13.79
Palabra: aboutgetting Frec: 3 LogProb: -13.79
Palabra: abouti Frec: 4 LogProb: -13.50
